,Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Estimated Age,Buy Age
0,chase-booster-seat-sale,Chase 2-In-1 Booster Car Seat,"<p>The Evenflo® Chase® Harnessed Booster features an innovative headrest design that allows the vehicle belt to self-adjust to your child’s height while in booster mode.  Enhanced side walls and head support provide comfort and safety for the child.  Sporty style elements appeal to children, as will the integrated cup holders with flexible stripe design.  The seat accommodates children ranging from 22-110 lbs.  This combination booster provides an exceptional value for a seat with such a wide array of innovative features.</p>",Evenflo,,,"Excess, FG, Outlet",True,Color,Jameson Gray,,,,,30611870,5760.623099,shopify,deny,manual,79.99,,True,True,32884190287.0,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/kg4qv428usgrqlilct4y_d0934eae-79ba-46d0-ac48-63e704af5634.jpg?v=1649947551,1,,False,Chase 2-In-1 Booster Car Seat - Evenflo® Official Site,"Enhanced side walls and head support provide comfort and safety for the child. Sporty elements appeal to children, as will the integrated cup holders. This combination booster provides an exceptional value for a seat with so many innovative features.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/kg4qv428usgrqlilct4y_d0934eae-79ba-46d0-ac48-63e704af5634.jpg?v=1649947551,lb,,,active,5 yrs - 10 yrs,4 yrs +
1,sonus-65-convertible-car-seat-sale,Sonus 65 Convertible Car Seat," The Sonus™ 65 Convertible Car Seat offers the ideal fit for both child AND car, AND an extended weight rating. The compact size fits 3 seats across in most mid-size vehicles, while the wider seat base fits a broader range of children. With a weight rating of 65 lbs, and a rear-facing weight rating of 40 lbs, your child can stay rear-facing and harnessed longer! This seat offers a built-in ventilation system, helping to keep child comfortable during long and short trips. Dual, integrated cup holders keep snacks and drinks within reach, and the removable, machine-washable seat pad makes inevitable cleaning of the seat far easier. Evenflo® car seats have been tested above and beyond industry standards and undergo our rigorous side impact and dynamic rollover tests. Additionally, all Evenflo seats include live video installation support, allowing you to schedule an appointment with a car seat technician, so you have the confidence that your seat is correctly installed. Evenflo Sonus 65 is designed, engineered, tested and assembled in the United States. ",Evenflo,,,"Closeout, FG, Outlet",True,Color,City Lights Gray,,,,,34812144,6758.526313,shopify,deny,manual,65.75,106.99,True,True,32884199723.0,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/pevse4qrgc7cbbwgdfzh.jpg?v=1649946795,1,,False,Sonus 65 Convertible Car Seat - Evenflo® Official Site,"The Sonus 65 Convertible Car Seat offers the ideal fit for both child AND car, AND an extended weight rating. The compact size fits 3 seats across in most mid-size vehicles, while the wider seat base fits a broader range of children.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/pevse4qrgc7cbbwgdfzh.jpg?v=1649946795,lb,,,active,0 - 10 yrs,6 mos - 18 mos
2,sonus-65-convertible-car-seat-sale,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/gacjbgtmhqjj3rctfhsz_46d07b35-e022-44f6-a055-b05b36a4f6de.jpg?v=1649946795,2,,,,,,,,,,,,,,,,,,,,,,,0 - 10 yrs,6 mos - 18 mos
3,nurturemax-infant-car-seat-base,NurtureMax Infant Car Seat Base," The Evenflo® NurtureMax™ Infant Car Seat Base combines comfort for your little one with convenience for you. The base for your NurtureMax Infant Car Seat installs quickly and easily via the standard lower anchor system or a vehicle seat belt. Securely in place, you can enjoy the peace of mind that comes with knowing that this anti-rebound base is designed to absorb and dissipate crash forces. Adding an extra NurtureMax base simplifies rides with baby’s multiple chauffeurs and takes the fuss out of transitions. Having multiple car seat bases allows your child to remain in the infant seat as you switch between vehicles and drivers — better yet, you only need to install the base once and you’re done!  <br>   At Evenflo, we go above and beyond government standards to create car seats that are safe. The NurtureMax Infant Car Seat Base and NurtureMax Infant Car Seat meet all applicable federal safety standards. They are rollover tested, temperature tested, and structural integrity tested at energy levels approximately 2x the federal crash test standard.   <br>  If you need help installing your car seat, our ParentLink® customer service experts offer help online in real time. Get live video support with a certified car seat safety technician to assist with proper vehicle installation, so you can drive with confidence.  <br>  It's been 100 years and Evenflo continues to push the boundaries in baby and children’s gear design and innovation. We meet the needs of new generations of parents by focusing on what they really care about: leading-edge safety, smart design and technology, and convenient features that help them enjoy the journey of parenthood.  ",Evenflo,,Car Seat Accessories,"FG, New",True,Color,Black,,,,,6401000,2494.758035,shopify,deny,manual,49.99,,True,True,32884202270.0,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/lpz6q8uwxjnxgy6y9blt.jpg?v=1649282777,1,,False,NurtureMax Infant Car Seat Base - Evenflo® Official Site,"Adding an extra NurtureMax base simplifies rides with baby’s multiple chauffeurs and takes the fuss out of transitions. Having multiple car seat bases allows your child to remain in the infant seat as you switch between vehicles and drivers — better yet, you only need to install the base once and you’re done!",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/lpz6q8uwxjnxgy6y9blt.jpg?v=1649282777,lb,,,active,0 - 1 yr,expectant - 6 mos
4,nurturemax-infant-car-seat-base,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/lpz6q8uwxjnxgy6y9blt_32a6a3d4-b6e8-4543-abf7-e7d9f1faa051.jpg?v=1645734289,2,,,,,,,,,,,,,,,,,,,,,,,0 - 1 yr,expectant - 6 mos
5,mini-countryman-ride-on-vehicle-6v,MINI Countryman 6-Volt Battery Ride-On,"<p>Imagine your little driver behind the wheel of an
international icon: the MINI Countryman 6V Battery Ride-On from Rollplay®. This
ride-on vehicle is endowed with all the charm and bold style of the real deal,
with the authentic MINI emblems you expect, plus LED headlights, chrome
detailing, clear windshield and side windows! Your child can open the
driver-side door, tuck into the seat right under Countryman's unmistakable
hard-top and set off for adventure. The working foot pedal and shifter get
things revved up to 2.5 mph in forward and reverse speeds. Button-activated
horn and engine sounds, plus tires with rubber traction strips, make for a joy
ride every time. This MINI Countryman ride-on is designed for use by children 3
years of age and older, weighing up to 77 lb. The 6V battery and charger are
included. Backed by a limited 1-year warranty on the vehicle, a limited 6-month
warranty on the battery, and the support of a dedicated U.S. Customer Service
team.</p>",Rollplay,,,"FG, Rollplay",True,Color,Red,,,,,W493QG4-R-WH,18502.0327723,shopify,deny,manual,229.99,,True,True,840009108167.0,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/qkwemirlx8ov5ewbsukc.jpg?v=1649282507,1,MINI Countryman 6-Volt Battery Ride-On,False,MINI Countryman 6-Volt Battery Ride-On - Evenflo® Official Site,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/av4xczwkl4qjgvsmpacf.jpg?v=1649282524,lb,,,active,,
6,mini-countryman-ride-on-vehicle-6v,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/gktxlryll8i44vvmmgrd.jpg?v=1649282508,2,MINI Countryman 6-Volt Battery Ride-On,,,,,,,,,,,,,,,,,,,,,,,
7,mini-countryman-ride-on-vehicle-6v,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/cojwbiueyy7dj9qhtzdk.jpg?v=1649282508,3,MINI Countryman 6-Volt Battery Ride-On,,,,,,,,,,,,,,,,,,,,,,,
8,mini-countryman-ride-on-vehicle-6v,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/av4xczwkl4qjgvsmpacf.jpg?v=1649282524,4,,,,,,,,,,,,,,,,,,,,,,,,
9,mini-countryman-ride-on-vehicle-6v,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0512/2359/3116/products/kg6yudvtedpqmvbd0r5q.jpg?v=1649282509,5,shopify-item-title,,,,,,,,,,,,,,,,,,,,,,,
